status,book_id,book_title,book_author,source,source_id,match_score,matched_title,matched_author,cover_url,isbn_10,isbn_13,fields_to_update
updated,6c3d8a5e-88e8-4f0a-9803-61d4004961cd,12 Rules for Life,Jordan Peterson,google_books,TvEqDAAAQBAJ,0.98,12 Rules for Life,Jordan B. Peterson,https://books.google.com/books/content?id=TvEqDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0345816048,9780345816047,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,5dc989eb-4c36-46c5-b030-87fe5eaa3376,Finite and Infinite Games,James Carse,google_books,ObLBJ_w2ZlcC,1.0,Finite and Infinite Games,James Carse,https://books.google.com/books/content?id=ObLBJ_w2ZlcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1451657293,9781451657296,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,9b6ecf82-1a9e-47a1-81db-54b65fbcefbf,The Subtle Art of Not Giving a Fck,Mark Manson,open_library,/works/OL17590212W,0.9901,The Subtle Art of Not Giving a F*ck,Mark Manson,https://covers.openlibrary.org/b/id/8231990-L.jpg,,9798994831373,cover_image_url | description | isbn_13 | language | last_enriched_at | open_library_id
updated,f747d77d-2484-4ecd-b120-44fed420fc8b,21 Lessons for the 21st Century,Yuval Noah Harari,google_books,ar44DwAAQBAJ,1.0,21 Lessons for the 21st Century,Yuval Noah Harari,https://books.google.com/books/content?id=ar44DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1473554713,9781473554719,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,e3603421-2793-46d6-a037-aa8678723889,Benjamin Franklin,Walter Isaacson,google_books,l9VSEQAAQBAJ,1.0,Benjamin Franklin,Walter Isaacson,https://books.google.com/books/content?id=l9VSEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,074325807X,9780743258074,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,73d247b2-f57c-4671-b34e-6ac82f5687a5,Blitzscaling,Reid Hoffman,open_library,/works/OL18027210W,1.0,Blitzscaling,Reid Hoffman,https://covers.openlibrary.org/b/id/8294642-L.jpg,1524761427,9781524761424,cover_image_url | description | isbn_10 | isbn_13 | language | last_enriched_at | open_library_id | page_count | publisher
updated,9e9e3819-54ca-443b-8925-d46c46c8c154,Deep Work,Cal Newport,google_books,lZpFCgAAQBAJ,1.0,Deep Work,Cal Newport,https://books.google.com/books/content?id=lZpFCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0349411913,9780349411910,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,e2f7fa9e-1e35-4432-b96e-b2d1fcfe848d,Grit,Angela Duckworth,google_books,9729wwEACAAJ,1.0,Grit,Angela Duckworth,https://books.google.com/books/content?id=9729wwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1785042661,9781785042669,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,ec60d738-7448-4353-852b-de4491e2666b,Open,Andre Agassi,google_books,VGZ7HbvqenkC,1.0,Open,Andre Agassi,https://books.google.com/books/content?id=VGZ7HbvqenkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0307592804,9780307592804,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,e71c4fb1-8fd0-43fc-90a2-543ec7776265,Team of Rivals,Doris Kearns Goodwin,google_books,Cg0bDAAAQBAJ,1.0,Team of Rivals,Doris Kearns Goodwin,https://books.google.com/books/content?id=Cg0bDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1451688091,9781451688092,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,c4427700-916e-407b-bd13-4f548be539b0,The Effective Executive,Peter F. Drucker,google_books,OhcZDAAAQBAJ,1.0,The Effective Executive,Peter F. Drucker,https://books.google.com/books/content?id=OhcZDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0062574353,9780062574350,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
low_confidence,10ebd521-b101-40d0-bc63-74c6f580e731,Holy Bible,-,google_books,l9wP8t9sgI8C,0.68,Holy Bible,Tyndale House Publishers,https://books.google.com/books/content?id=l9wP8t9sgI8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0842384898,9780842384896,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,7f69357b-6b4b-4f46-961e-b9ad6cb575ff,Ego Is the Enemy,Ryan Holiday,google_books,6xiHzwEACAAJ,1.0,Ego Is the Enemy,Holiday Ryan Holiday,https://covers.openlibrary.org/b/id/12447129-L.jpg,1387878530,9781387878536,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,cd344d64-c094-4343-b763-9f24389e9baf,The Undoing Project,Michael Lewis,google_books,oXxMDAAAQBAJ,1.0,The Undoing Project,Michael Lewis,https://books.google.com/books/content?id=oXxMDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,0141983035,9780141983035,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,4bba2c0e-86ff-433c-a854-e5c0b16ed2a5,Amusing Ourselves to Death,Neil Postman,google_books,oup6iagfox8C,1.0,Amusing Ourselves to Death,Neil Postman,https://books.google.com/books/content?id=oup6iagfox8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1101042621,9781101042625,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,1bd2f67d-d601-470f-9629-c618bb7dd3be,Becoming,Michelle Obama,google_books,YbtNDwAAQBAJ,1.0,Becoming,Michelle Obama,https://books.google.com/books/content?id=YbtNDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1524763152,9781524763152,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,1feacb7e-8823-4aed-8412-7f680935f2ca,Can't Hurt Me,David Goggins,google_books,IeYmEAAAQBAJ,1.0,Can't Hurt Me,David Goggins,https://books.google.com/books/content?id=IeYmEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,1544507860,9781544507866,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
updated,b40bea6c-d4b7-4b8d-9d19-07acec3cbfa3,"Gödel, Escher, Bach",Douglas R. Hofstadter,google_books,uZLdksxOEecC,1.0,"Gödel, Escher, Bach",Douglas R. Hofstadter,https://books.google.com/books/content?id=uZLdksxOEecC&printsec=frontcover&img=1&zoom=1&source=gbs_api,0465026567,9780465026562,cover_image_url | description | google_books_id | isbn_10 | isbn_13 | language | last_enriched_at | page_count | publisher
