status,object_path,filename,public_url,book_id,book_title,book_author,old_cover_image_url
updated,The 5 Second Rule.png,The 5 Second Rule.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%205%20Second%20Rule.png,4838953b-737c-4b67-804e-e7d63cab9397,The 5 Second Rule,Mel Robbins,The 5 Second Rule.png
updated,The 90Day Novel.png,The 90Day Novel.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%2090Day%20Novel.png,91db9723-a036-4c68-b293-de0e2a364bd7,The 90Day Novel,Alan Watt,The 90Day Novel.png
updated,The Algebraist.png,The Algebraist.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Algebraist.png,4acc0860-b414-4bdf-bb4c-d88622a38d43,The Algebraist,Iain M. Banks,The Algebraist.png
updated,The Anger Management Workbook for Women.png,The Anger Management Workbook for Women.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Anger%20Management%20Workbook%20for%20Women.png,776cee7d-89a8-4963-8cb3-40bcba241fac,The Anger Management Workbook for Women,Julie Catalano Msw Licsw,The Anger Management Workbook for Women.png
updated,The Answer Within.png,The Answer Within.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Answer%20Within.png,472d2554-ea49-4861-9ad4-2786b3e5e24a,The Answer Within,Stephen R. Lankton,The Answer Within.png
updated,The Art of the Start 2.0.png,The Art of the Start 2.0.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Art%20of%20the%20Start%202.0.png,f4eb9f3a-7a3d-470f-9cb1-9128f755cb57,The Art of the Start 2.0,Guy Kawasaki,The Art of the Start 2.0.png
updated,The Artist's Guide.png,The Artist's Guide.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Artist%27s%20Guide.png,9bd37225-ad76-4b47-99ff-db62b7c90328,The Artist's Guide,Jackie Battenfield,The Artist's Guide.png
updated,The Audubon Society Field Guide to North American Mushrooms.png,The Audubon Society Field Guide to North American Mushrooms.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Audubon%20Society%20Field%20Guide%20to%20North%20American%20Mushrooms.png,d46ba67b-ac33-4040-b841-6a5c2e414325,The Audubon Society Field Guide to North American Mushrooms,National Audubon Society,The Audubon Society Field Guide to North American Mushrooms.png
updated,The Awakened Introvert.png,The Awakened Introvert.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Awakened%20Introvert.png,954488e8-cc23-447d-b4d0-8b3c8807a8a8,The Awakened Introvert,Arnie Kozak,The Awakened Introvert.png
updated,The Backyard Homestead.png,The Backyard Homestead.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Backyard%20Homestead.png,8a4af0dc-37dd-44fa-a339-82a823a486c6,The Backyard Homestead,Carleen Madigan,The Backyard Homestead.png
updated,The Beginner's Guide to Android Game Development.png,The Beginner's Guide to Android Game Development.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Beginner%27s%20Guide%20to%20Android%20Game%20Development.png,b0fd57bf-125a-426f-90aa-ea8cd1f2c38d,The Beginner's Guide to Android Game Development,James S. Cho,The Beginner's Guide to Android Game Development.png
updated,The Berenstain Bears' Dinosaur Dig.png,The Berenstain Bears' Dinosaur Dig.png,https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Berenstain%20Bears%27%20Dinosaur%20Dig.png,30ad1a29-78df-4c77-b127-119bd040adaf,The Berenstain Bears' Dinosaur Dig,"Jan Berenstain, Mike Berenstain",The Berenstain Bears' Dinosaur Dig.png
updated,"The Best Damn Website & eCommerce Marketing Optimization Guide, Period! (The Best Damn Books).png","The Best Damn Website & eCommerce Marketing Optimization Guide, Period! (The Best Damn Books).png",https://ghpdpvatfmvsahzsqgpp.supabase.co/storage/v1/object/public/book-covers/The%20Best%20Damn%20Website%20%26%20eCommerce%20Marketing%20Optimization%20Guide%2C%20Period%21%20%28The%20Best%20Damn%20Books%29.png,582ddd4e-6c43-4298-9d9b-6ce6f235b94a,"The Best Damn Website & eCommerce Marketing Optimization Guide, Period! (The Best Damn Books)",Stoney deGeyter,"The Best Damn Website & eCommerce Marketing Optimization Guide, Period! (The Best Damn Books).png"
